"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA","wRAA","wRC","playerid","mlbamid"
"1997","Larry Walker","COL","153","664","49","143","130","33",".354",".367",".366",".452",".720",".488","177","3.2","68.0","3.4","9.1","208","109","46","4","78","14","90","14","4","0","15","33","8",".488","86.1","168","455","123833"
"1994","Jeff Bagwell","HOU","110","479","39","104","116","15",".383",".353",".368",".451",".750",".488","205","1.3","66.3","-1.5","7.8","147","74","32","2","65","14","65","4","10","0","12","15","4",".488","62.6","123","547","110432"
"1961","Norm Cash","DET","159","672","41","119","132","11",".301",".370",".361",".487",".662",".488","194","0.5","80.2","-0.5","10.2","193","122","22","8","124","19","85","9","2","2","16","11","5",".488","88.3","168","1002043","112090"
"1923","Tris Speaker","CLE","150","693","17","133","130","8",".230",".371",".380",".469",".610",".488","175","-1.7","70.5","-4.7","8.6","218","131","59","11","93","","15","4","","22","","8","9",".488","79.6","170","1012309","122566"
"1944","Buck Leonard","HG","49","215","7","48","39","1",".279","",".341",".451",".620",".488","174","0.0","20.9","1.9","3.3","61","32","15","7","31","0","","5","","6","0","1","",".488","25.5","49","1015737",""
"1940","Buck Leonard","HG","49","202","8","44","48","2",".250","",".369",".475",".619",".488","181","0.2","22.4","-2.1","2.6","62","39","12","3","34","","","","","4","","2","",".488","24.7","50","1015737",""
"1935","Josh Gibson","PC","44","192","10","48","57","10",".292","",".369",".448",".661",".487","170","1.8","21.4","1.6","2.8","62","37","11","4","24","","","0","","2","","10","",".487","22.8","48","1015243",""
"1924","Cristóbal Torriente","CAG","74","304","8","59","81","12",".247","",".365",".467",".612",".487","188","2.6","37.2","0.0","4.6","93","52","27","6","46","","","3","","4","","12","",".487","34.9","74","1016595",""
"1944","Bill Hoskins","BEG","30","127","5","24","22","0",".233","",".388",".441",".621",".487","173","-0.1","12.2","-2.3","1.6","45","31","6","3","11","0","","0","","1","","0","",".487","15.0","29","1015483",""
"1935","Turkey Stearnes","CAG","47","196","6","43","52","9",".235","",".388",".469",".624",".487","169","1.6","21.5","-12.6","1.4","66","44","10","6","23","","","3","","5","","9","",".487","23.2","49","1016481",""
"1933","Jabbo Andrews","CBB","22","88","5","17","17","0",".253","",".398",".432",".651",".487","189","-0.1","9.9","5.7","1.9","33","23","4","1","4","","","1","","2","","0","",".487","10.7","21","1014510",""
"1923","Turkey Stearnes","DS","69","297","17","70","85","2",".348","",".362",".401",".710",".487","173","0.6","31.3","10.3","5.0","101","52","18","14","17","","","1","","2","","2","",".487","33.9","73","1016481",""
"1941","Joe DiMaggio","NYY","139","621","30","122","125","4",".287",".327",".357",".440",".643",".486","179","-0.6","66.0","7.1","9.7","193","109","43","11","76","","13","4","","0","6","4","2",".486","73.7","147","1003311","113376"
"1927","Charlie Mason","NLG","29","125","6","28","27","6",".234","",".387",".456",".622",".486","174","0.9","13.8","-12.2","0.6","43","29","8","0","12","","","2","","1","","6","",".486","14.3","30","1015842",""
"1922","Tris Speaker","CLE","131","516","11","85","71","8",".228",".371",".378",".474",".606",".486","175","0.9","54.8","-2.7","6.6","161","94","48","8","77","","11","1","","12","","8","3",".486","58.5","125","1012309","122566"
"1922","Oscar Charleston","ABC","101","443","19","105","102","21",".294","",".374",".433",".668",".486","187","4.7","54.9","6.3","7.2","150","88","25","18","41","","","1","","11","","21","",".486","50.2","108","1014838",""
"1920","Tris Speaker","CLE","150","674","8","137","107","10",".174",".388",".388",".483",".562",".486","168","-1.7","60.1","-0.7","8.6","214","145","50","11","97","","13","5","","20","","10","13",".486","76.6","154","1012309","122566"
"1934","Jimmie Foxx","PHA","150","652","44","120","130","11",".319",".324",".334",".449",".653",".485","169","0.8","65.3","2.1","8.8","180","102","28","6","111","","75","1","","1","","11","2",".485","76.3","159","1004285","114367"
"1929","Babe Ruth","NYY","135","587","46","121","154","5",".353",".321",".345",".430",".697",".485","181","-1.4","66.5","-4.7","7.7","172","94","26","6","72","","60","3","","13","","5","3",".485","66.3","148","1011327","121578"
"1912","Ty Cobb","DET","140","609","7","120","83","61",".175","",".409",".456",".584",".485","187","6.5","71.1","-1.5","9.1","226","166","30","23","43","","","5","","8","","61","",".485","67.5","140","1002378","112431"
"1902","Ed Delahanty","WAS","123","539","10","103","93","16",".214","",".376",".453",".590",".485","173","-1.1","52.1","-3.8","7.0","178","111","43","14","62","","","4","","0","","16","",".485","64.0","127","1003155","113218"
"1999","Larry Walker","COL","127","513","37","108","115","11",".331",".363",".379",".458",".710",".485","167","0.4","47.3","-13.0","4.7","166","99","26","4","57","8","52","12","6","0","12","11","4",".485","64.1","131","455","123833"
"1931","Al Simmons","PHA","128","563","22","105","128","3",".251",".399",".390",".444",".641",".484","175","-1.0","56.6","3.6","7.9","200","128","37","13","47","","45","3","","0","","3","3",".484","65.6","136","1011978","122240"
"1928","Willie Wells","SLS","78","345","22","82","81","13",".330","",".359",".414",".689",".484","193","2.2","42.3","18.7","7.1","113","58","28","5","25","","","5","","7","","13","",".484","39.5","83","1016700",""
"1925","Turkey Stearnes","DS","94","412","19","93","126","11",".297","",".371",".439",".668",".484","190","2.3","50.9","-2.3","5.6","136","79","24","14","45","","","","","3","","11","",".484","46.7","103","1016481",""
"1949","Ralph Kiner","PIT","152","667","54","116","127","6",".348",".267",".310",".432",".658",".484","180","1.0","67.2","-10.6","7.8","170","92","19","5","117","","61","1","","0","10","6","",".484","73.4","153","1006923","117072"
"1928","Mule Suttles","SLS","76","324","21","73","75","6",".346","",".359",".404",".704",".484","193","0.8","38.4","3.7","5.2","108","58","17","12","22","","","1","","8","","6","",".484","37.0","78","1016512",""
"1929","Willie Wells","- - -","99","432","26","109","128","31",".302","",".363",".444",".666",".484","182","5.5","54.2","6.1","6.8","137","81","24","6","53","","","2","","12","","31","",".484","48.3","108","1016700",""
"1935","Jimmie Foxx","PHA","147","649","36","118","115","6",".290",".373",".346",".461",".636",".484","174","-1.3","67.1","-0.3","8.4","185","109","33","7","114","","99","0","","0","","6","4",".484","75.3","159","1004285","114367"
"1929","Lefty O'Doul","PHI","154","731","32","152","122","2",".224",".378",".398",".465",".622",".484","156","-1.0","61.6","-6.7","7.4","254","181","35","6","76","","19","4","","13","","2","",".484","81.5","183","1009734","119941"
"1894","Ed Delahanty","PHI","114","556","4","147","131","21",".178",".416",".407",".478",".585",".484","151","-2.4","52.1","3.8","6.0","199","138","39","18","60","","16","7","","","","21","",".484","58.6","161","1003155","113218"
"1922","Babe Ruth","NYY","110","495","35","94","99","2",".357",".320",".315",".434",".672",".484","175","-1.3","49.8","0.2","6.4","128","61","24","8","84","","80","1","","4","","2","5",".484","55.1","119","1011327","121578"
"1893","Billy Hamilton","PHI","82","431","5","110","44","43",".144",".379",".380",".490",".524",".484","163","3.5","49.4","1.7","5.5","135","101","22","7","63","","7","13","","","","43","",".484","48.5","118","1005270","115386"
"1941","Ted Strong","KCM","30","124","6","27","27","1",".276","",".327",".468",".602",".483","239","0.1","17.0","-1.0","2.0","32","19","5","2","26","","","","","4","","1","",".483","14.5","29","1016505",""
"1912","Joe Jackson","CLE","154","653","3","121","90","35",".184","",".395",".458",".579",".483","186","1.1","69.5","-0.9","9.1","226","153","44","26","54","","","12","","15","","35","",".483","71.4","150","1006301","116432"
"1948","Ed Steele","BBB","28","118","3","27","17","7",".191","",".362",".492",".553",".483","180","1.2","13.5","-5.2","1.2","34","24","5","2","19","","","5","","0","","7","",".483","13.2","27","1016482",""
"1940","Hank Greenberg","DET","148","670","41","129","150","6",".330",".337",".340",".433",".670",".483","166","-0.7","61.9","-8.4","7.6","195","96","50","8","93","","75","1","","3","15","6","3",".483","79.7","163","1004996","115096"
"1947","Henry Kimbro","BEG","64","275","8","70","52","11",".235","",".385",".447",".619",".483","186","2.0","31.3","1.6","4.3","95","58","24","5","26","","","2","","3","","11","",".483","31.0","63","1015692",""
"1912","Tris Speaker","BOS","153","675","10","136","90","52",".184","",".383",".464",".567",".483","190","4.1","77.9","4.2","10.6","222","147","53","12","82","","","6","","7","","52","",".483","73.6","154","1012309","122566"
"1930","Chuck Klein","PHI","156","719","40","158","170","4",".301",".376",".386",".436",".687",".483","150","0.2","58.3","-10.7","6.5","250","143","59","8","54","","50","4","","13","","4","",".483","82.7","184","1006991","117141"
"1926","Jud Wilson","BBS","48","197","3","46","36","24",".186","",".373",".487",".559",".482","185","4.3","25.7","6.2","3.8","60","38","17","2","29","","","7","","7","","24","",".482","21.5","47","1016808",""
"1940","Buzz Clarkson","- - -","27","117","9","24","36","2",".337","",".346",".419",".683",".482","186","0.3","13.2","1.6","1.8","36","20","6","1","13","","","","","1","","2","",".482","13.8","28","1002271","112368"
"1937","Hank Greenberg","DET","154","701","40","137","183","8",".332",".353",".337",".436",".668",".482","162","-0.5","64.8","-4.7","8.2","200","97","49","14","102","","101","3","","2","","8","3",".482","80.3","172","1004996","115096"
"1927","Turkey Stearnes","DS","91","387","19","79","114","13",".312","",".350",".429",".662",".482","186","1.9","44.6","-2.2","5.3","119","63","25","12","46","","","1","","5","","13","",".482","42.9","92","1016481",""
"1930","Al Simmons","PHA","138","611","36","152","165","9",".327",".362",".381",".423",".708",".482","171","0.3","64.1","-1.7","7.7","211","118","41","16","39","","34","1","","17","","9","2",".482","69.7","156","1011978","122240"
"1910","Ty Cobb","DET","140","590","8","106","91","65",".168","",".383",".456",".551",".481","206","7.4","70.9","4.0","10.3","194","138","35","13","64","","","4","","16","","65","",".481","64.9","126","1002378","112431"
"1937","Willard Brown","KCM","56","234","10","51","60","10",".285","",".379",".432",".664",".481","198","1.7","30.0","3.4","4.0","81","50","11","10","19","","","1","","1","","10","",".481","26.6","57","1001569","111600"
"1934","Ray Dandridge","ND","35","125","0","20","29","0",".169","",".432",".464",".602",".481","200","-0.1","14.9","0.9","2.0","51","35","12","4","7","","","0","","2","","0","",".481","14.2","30","1014963",""
"1922","George Sisler","SLB","142","654","8","134","105","51",".174",".422",".420",".467",".594",".481","168","2.5","63.9","-0.1","8.2","246","178","42","18","49","","14","3","","16","","51","19",".481","71.3","156","1012021","122280"
"1926","Willie Wells","SLS","84","330","13","66","64","16",".211","",".373",".470",".584",".480","167","2.4","33.5","13.0","5.6","104","75","12","4","50","","","1","","14","","16","",".480","35.6","78","1016700",""
"1895","Sam Thompson","PHI","119","576","18","131","165","27",".262",".379",".392",".430",".654",".480","162","0.4","61.2","-4.3","6.3","211","127","45","21","31","","11","5","","2","","27","",".480","62.8","158","1013024","123303"
"1929","Jimmie Foxx","PHA","149","638","33","123","118","9",".271",".362",".354",".463",".625",".480","174","-2.8","64.3","-1.8","8.0","183","118","23","9","103","","70","2","","16","","9","7",".480","69.2","158","1004285","114367"
"1917","Ty Cobb","DET","152","669","6","107","102","55",".187",".400",".383",".444",".570",".480","200","6.6","75.6","1.5","11.5","225","151","44","24","61","","34","4","","16","","55","",".480","74.2","139","1002378","112431"
"1945","Johnny Davis","NE","21","86","4","14","20","0",".284","",".338",".430",".622",".480","182","-0.1","8.6","1.5","1.4","25","12","9","0","11","1","","1","","1","","0","",".480","9.5","19","1014983",""
"1920","Jimmie Lyons","DS","59","254","8","64","46","21",".216","",".379",".445",".595",".479","207","4.7","34.1","9.3","5.4","86","58","15","5","26","","","1","","9","","21","",".479","27.6","57","1015807",""
"1951","Ralph Kiner","PIT","151","670","42","124","109","2",".318",".282",".309",".452",".627",".479","179","0.7","66.5","-14.2","7.6","164","85","31","6","137","","57","2","","0","10","2","1",".479","74.7","153","1006923","117072"
"1941","Bill Hoskins","- - -","44","183","10","47","42","2",".294","",".365",".410",".659",".479","209","0.2","22.3","-1.8","2.6","62","38","8","6","13","","","","","1","","2","",".479","20.7","42","1015483",""
"1925","Tris Speaker","CLE","117","518","12","79","87","5",".189",".383",".389",".479",".578",".479","163","0.3","49.4","-0.7","6.3","167","115","35","5","70","","12","4","","15","","5","2",".479","56.2","127","1012309","122566"
"1876","Ross Barnes","CHI","66","342","1","126","59","",".161",".438",".429",".462",".590",".478","197","0.0","50.4","12.2","6.6","138","102","21","14","20","","8","","","","","","",".478","53.2","104","1000573","110587"
"1980","George Brett","KCR","117","515","24","87","118","15",".274",".368",".390",".454",".664",".478","198","0.5","59.7","9.6","9.1","175","109","33","9","58","16","22","1","7","0","11","15","6",".478","62.7","120","1001400","111437"
"1938","Harry Williams","PC","37","154","4","35","32","3",".229","",".393",".448",".621",".478","175","0.4","16.3","-2.8","1.8","55","35","12","4","14","","","0","","3","","3","",".478","17.1","37","1016780",""
"1925","Ty Cobb","DET","121","490","12","97","102","13",".219",".371",".378",".468",".598",".478","163","-1.4","44.4","-4.7","5.4","157","102","31","12","65","","12","5","","5","","13","9",".478","52.8","119","1002378","112431"
"1925","Wilson Redus","SLS","77","296","12","60","62","5",".252","",".372",".453",".624",".478","185","1.1","34.3","-3.2","3.7","96","61","17","6","38","","","","","5","","5","",".478","31.9","72","1016216",""
"2020","Juan Soto","WSN","47","196","13","39","37","6",".344",".363",".351",".490",".695",".478","202","-0.5","25.0","-3.9","2.6","54","27","14","0","41","12","28","1","0","0","1","6","2",".478","26.1","51","20123","665742"
"1961","Mickey Mantle","NYY","153","646","54","132","128","12",".370",".309",".317",".448",".687",".478","196","2.3","80.8","1.0","10.3","163","87","16","6","126","9","112","0","5","1","2","12","1",".478","79.6","156","1008082","118258"
"1944","Jesse Douglas","CAG","20","84","0","10","12","2",".173","",".400",".464",".573",".477","227","0.3","10.8","-4.0","1.1","30","21","5","4","9","","","0","","1","0","2","",".477","9.3","19","1015063",""
"1884","Fred Dunlap","STL","101","478","13","160","","",".209","",".412",".448",".621",".477","214","0.0","77.5","11.8","10.2","185","125","39","8","29","","","","","","","","",".477","73.5","143","1003566","113630"
"1949","Stan Musial","STL","157","721","36","128","123","3",".286",".318",".338",".438",".624",".477","177","0.4","69.8","-1.6","9.2","207","117","41","13","107","","38","2","","0","12","3","",".477","75.3","161","1009405","119602"
"1934","Bert Johnson","ND","33","129","2","23","34","0",".183","",".417",".457",".600",".477","197","-0.1","15.0","-2.4","1.7","50","34","12","2","9","","","0","","2","","0","",".477","14.2","31","1015581",""
"1923","Biz Mackey","HIL","51","193","5","32","44","6",".165","",".423",".456",".588",".477","195","1.4","23.7","2.1","3.0","77","59","11","2","10","","","1","","6","","6","",".477","20.5","46","1015810",""
"2000","Manny Ramirez","CLE","118","532","38","92","122","1",".346",".403",".351",".457",".697",".477","182","-0.2","58.7","-24.8","4.8","154","80","34","2","86","9","117","3","4","0","9","1","1",".477","63.0","133","210","120903"
"1923","Cristóbal Torriente","CAG","74","308","4","69","63","12",".169","",".387",".481",".556",".476","167","2.8","32.0","8.3","4.9","101","70","22","5","44","","","3","","10","","12","",".476","32.6","73","1016595",""
"1994","Albert Belle","CLE","106","480","36","90","101","9",".357",".359",".357",".438",".714",".476","186","-0.8","54.0","-15.0","5.3","147","74","35","2","58","9","71","5","4","1","5","9","6",".476","58.1","119","1000802","110839"
"1895","Jesse Burkett","CLE","131","639","5","153","83","41",".115",".428",".409",".486",".524",".476","154","-0.1","59.0","-8.1","5.9","225","185","22","13","74","","31","8","","7","","41","",".476","67.3","173","1001682","111733"
"1935","Buck Leonard","HG","40","175","4","30","36","5",".229","",".389",".451",".618",".476","164","0.8","17.1","1.3","2.3","61","36","18","3","17","","","1","","4","","5","",".476","19.2","42","1015737",""
"2000","Todd Helton","COL","160","697","42","138","147","5",".326",".357",".372",".463",".698",".476","162","-0.3","58.1","6.4","8.3","216","113","59","2","103","22","61","4","10","0","12","5","3",".476","82.4","174","432","115732"
"1920","Joe Jackson","CHW","146","649","12","105","121","9",".207",".379",".382",".444",".589",".476","165","-1.8","55.0","-4.3","7.6","218","144","42","20","56","","14","7","","16","","9","12",".476","69.1","144","1006301","116432"
