"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA","wRAA","wRC","playerid","mlbamid"
"1920","George Sisler","SLB","154","692","19","137","122","42",".225",".401",".407",".449",".632",".497","173","2.9","71.2","-0.6","9.8","257","171","49","18","46","","19","2","","13","","42","17",".497","84.3","164","1012021","122280"
"1894","Sam Thompson","PHI","99","478","13","108","141","24",".279",".401",".407",".458",".686",".497","158","0.0","53.1","-10.1","4.4","178","109","29","27","40","","13","1","","","","24","",".497","56.6","144","1013024","123303"
"1929","John Beckwith","- - -","56","230","14","57","60","2",".304","",".386",".448",".691",".496","164","0.0","23.4","-9.3","2.0","80","47","17","2","22","","","1","","2","","2","",".496","28.0","60","1014583",""
"1939","Joe DiMaggio","NYY","120","524","30","108","126","3",".290",".354",".381",".448",".671",".495","178","0.1","58.4","9.6","8.5","176","108","32","6","52","","20","4","","6","11","3","0",".495","65.0","131","1003311","113376"
"1928","Lou Gehrig","NYY","154","677","27","139","142","4",".274",".393",".374",".467",".648",".495","189","-5.2","76.0","-2.7","9.6","210","123","47","13","95","","69","4","","16","","4","11",".495","83.3","169","1004598","114680"
"1945","Roy Campanella","BEG","52","215","5","48","43","1",".203","",".385",".479",".588",".495","191","0.0","23.9","0.8","3.4","70","46","16","3","32","0","","1","","0","","1","",".495","26.1","50","1001871","111915"
"1899","John McGraw","BAL","117","539","1","140","33","73",".055","",".391",".547",".446",".494","178","7.2","68.3","10.6","9.0","156","139","13","3","124","","","14","","2","","73","",".494","65.2","140","1008542","118726"
"1911","Joe Jackson","CLE","147","641","7","126","83","41",".182","",".408",".468",".590",".494","184","2.2","70.4","-1.1","9.3","233","162","45","19","56","","","8","","6","","41","",".494","75.1","151","1006301","116432"
"1937","Lou Gehrig","NYY","157","700","37","138","159","4",".292",".337",".351",".473",".643",".493","174","-1.5","76.0","-12.8","8.4","200","117","37","9","127","","49","4","","0","","4","3",".493","86.5","178","1004598","114680"
"1922","Bullet Rogan","KCM","74","278","15","58","55","16",".290","",".369",".453",".660",".493","192","3.5","36.6","-2.5","4.1","89","56","11","7","35","","","2","","5","","16","",".493","33.1","69","1016287",""
"1945","Ed Steele","BBB","25","101","1","14","15","2",".239","",".391",".446",".630",".493","214","0.3","12.8","-2.0","1.6","36","23","5","7","7","0","","2","","4","","2","",".493","12.1","23","1016482",""
"1998","Mark McGwire","STL","155","681","70","130","147","1",".454",".285",".299",".470",".752",".492","205","0.2","90.6","-25.1","8.5","152","61","21","0","162","28","155","6","4","0","8","1","0",".492","91.7","176","1008559","118743"
"1927","Harry Heilmann","DET","141","596","14","106","120","11",".218",".394",".398",".475",".616",".492","174","-1.2","61.0","-11.8","6.9","201","128","50","9","72","","16","2","","17","","11","5",".492","71.1","147","1005590","115705"
"1935","Arky Vaughan","PIT","137","610","19","108","99","4",".222",".374",".385",".491",".607",".492","194","0.1","74.4","5.5","9.5","192","129","34","10","97","","18","7","","7","5","4","",".492","75.0","154","1013377","123671"
"1941","Monte Irvin","NE","41","165","8","34","48","8",".250","",".395",".442",".645",".492","218","1.4","23.0","1.4","3.0","60","39","12","1","13","","","","","9","","8","",".492","20.3","40","1006275","116403"
"1921","Rogers Hornsby","STL","154","674","21","131","126","13",".242",".409",".397",".458",".639",".492","186","-2.3","75.2","14.3","11.1","235","152","44","18","60","","48","7","","15","","13","13",".492","80.0","166","1006030","116156"
"1931","Turkey Stearnes","DS","38","155","8","29","33","6",".256","",".376",".465",".632",".491","203","1.1","20.5","-0.7","2.5","50","32","10","0","20","","","2","","1","","6","",".491","18.9","38","1016481",""
"1937","Wild Bill Wright","WEG","37","153","7","26","38","0",".347","",".381",".405",".728",".490","176","-0.1","16.5","-7.5","1.4","56","30","8","11","6","","","0","","1","","0","",".490","18.6","38","1016829",""
"1927","Ed Rile","DS","75","289","11","53","58","3",".272","",".389",".439",".660",".490","191","0.1","33.8","-2.3","4.0","103","61","23","8","24","","","0","","8","","3","",".490","33.8","71","1016249",""
"1929","George Scales","- - -","66","285","8","59","73","8",".232","",".380",".484",".612",".489","160","1.0","28.4","9.0","4.5","90","54","25","3","41","","","7","","4","","8","",".489","33.2","73","1016348",""
"1930","Babe Herman","BRO","153","699","35","143","130","18",".285",".394",".393",".455",".678",".489","165","3.0","75.7","-12.6","7.7","241","147","48","11","66","","56","4","","15","","18","",".489","84.3","183","1005691","115808"
"1938","Quincy Trouppe","AB3","18","68","2","20","11","1",".268","",".357",".471",".625",".489","215","0.1","9.2","-5.7","0.5","20","11","5","2","9","","","3","","0","","1","",".489","8.1","17","1013195","123478"
"1938","Hank Greenberg","DET","155","681","58","144","146","7",".369",".288",".315",".438",".683",".489","160","-1.6","60.5","-5.7","7.7","175","90","23","4","119","","92","3","","3","","7","5",".489","81.5","169","1004996","115096"
"1996","Mark McGwire","OAK","130","548","52","104","113","0",".418",".308",".312",".467",".730",".489","190","-0.2","68.4","-11.1","7.3","132","59","21","0","116","16","112","8","1","0","14","0","0",".489","71.8","142","1008559","118743"
"1931","Lou Gehrig","NYY","155","738","46","163","184","17",".321",".319",".341",".446",".662",".488","183","-2.3","81.8","-14.7","9.1","211","119","31","15","117","","56","0","","2","","17","12",".488","88.4","180","1004598","114680"
"1923","Rogers Hornsby","STL","107","487","17","89","83","3",".243",".386",".384",".459",".627",".488","180","-2.0","51.5","3.5","7.0","163","104","32","10","55","","29","3","","5","","3","7",".488","56.2","120","1006030","116156"
"1899","Ed Delahanty","PHI","146","645","9","135","137","30",".172","",".410",".464",".582",".488","177","0.0","72.5","-4.8","8.3","238","165","55","9","55","","","4","","5","","30","",".488","74.8","164","1003155","113218"
